cluster	rank	gene	score	logfoldchange	pval	pval_adj
0	1	LTB	65.88809967041016	3.5209622383117676	0.0	0.0
0	2	EEF1A1	64.50972747802734	1.1851750612258911	0.0	0.0
0	3	RPL32	62.2762451171875	1.1266618967056274	0.0	0.0
0	4	RPL11	61.031578063964844	1.0664575099945068	0.0	0.0
0	5	LDHB	60.797767639160156	2.3802056312561035	0.0	0.0
0	6	RPL10	60.42378616333008	0.9665851593017578	0.0	0.0
0	7	RPL13	60.2952766418457	1.0336140394210815	0.0	0.0
0	8	RPL34	60.1416130065918	1.0797146558761597	0.0	0.0
0	9	RPS12	59.36864471435547	1.0876317024230957	0.0	0.0
0	10	RPS8	59.08224868774414	1.0554410219192505	0.0	0.0
0	11	RPL30	58.99189376831055	1.0580790042877197	0.0	0.0
0	12	RPL5	58.35066604614258	1.254151701927185	0.0	0.0
0	13	RPS3A	57.742469787597656	1.1381714344024658	0.0	0.0
0	14	TPT1	57.41156005859375	0.987932026386261	0.0	0.0
0	15	RPL19	57.27467346191406	0.9298651218414307	0.0	0.0
0	16	RPS25	57.04572677612305	1.1030060052871704	0.0	0.0
0	17	RPL14	56.939544677734375	1.0756093263626099	0.0	0.0
0	18	RPS28	56.736289978027344	0.8236727118492126	0.0	0.0
0	19	RPS18	56.72869873046875	1.1171525716781616	0.0	0.0
0	20	RPL37	56.724571228027344	0.9878677129745483	0.0	0.0
1	1	CCL5	64.31777954101562	4.461579322814941	0.0	0.0
1	2	CD8A	52.1136474609375	3.6715621948242188	0.0	0.0
1	3	IL32	50.5238037109375	2.5573530197143555	0.0	0.0
1	4	NKG7	50.375938415527344	3.380847454071045	0.0	0.0
1	5	GZMA	49.682254791259766	2.9100825786590576	0.0	0.0
1	6	GZMK	49.14625549316406	3.741567611694336	0.0	0.0
1	7	CD8B	48.94397735595703	3.7807796001434326	0.0	0.0
1	8	CD3E	48.555137634277344	2.328869342803955	0.0	0.0
1	9	PTPRCAP	47.4322509765625	1.9101898670196533	0.0	0.0
1	10	CST7	47.27885818481445	2.5796799659729004	0.0	0.0
1	11	CD2	46.04757308959961	2.1827967166900635	0.0	0.0
1	12	CTSW	44.67206954956055	2.417656660079956	0.0	0.0
1	13	HLA-B	44.28521728515625	0.9173632860183716	0.0	0.0
1	14	B2M	43.527984619140625	0.7050138711929321	0.0	0.0
1	15	HLA-C	41.82185363769531	0.9831125140190125	0.0	0.0
1	16	RARRES3	41.48916244506836	1.7538096904754639	0.0	0.0
1	17	GZMM	41.19729232788086	2.1181440353393555	0.0	0.0
1	18	HLA-A	40.032649993896484	1.0135819911956787	0.0	0.0
1	19	CD3D	39.858848571777344	1.939025640487671	0.0	0.0
1	20	CD3G	39.61848831176758	2.015568733215332	0.0	0.0
2	1	TNFAIP3	43.255027770996094	3.0889501571655273	0.0	0.0
2	2	JUNB	43.06392288208008	2.5103158950805664	0.0	0.0
2	3	SPOCK2	38.80360412597656	2.3757410049438477	0.0	0.0
2	4	RGS1	36.96273422241211	3.0623440742492676	4.5476468509691453e-299	3.0896712705484372e-295
2	5	BTG1	36.896240234375	1.568791389465332	5.309092451556616e-298	2.8855979292700515e-294
2	6	DNAJB1	36.54176712036133	2.278524160385132	2.4097295835362837e-292	1.0914468527030342e-288
2	7	CD3D	36.4778938293457	2.094923257827759	2.485880719644564e-291	9.650899205294382e-288
2	8	ICOS	35.5895881652832	3.922274589538574	2.0301069007597883e-277	6.896273141881001e-274
2	9	CD69	34.52821731567383	2.4112613201141357	3.026391372448701e-261	9.138356881962879e-258
2	10	CREM	33.717262268066406	2.5910043716430664	3.2289674825619727e-249	8.775042030610416e-246
2	11	LTB	33.63969039916992	2.1825807094573975	4.412316172867677e-248	1.0900827664895636e-244
2	12	BTG2	33.54058837890625	1.980655550956726	1.2349448024728076e-246	2.7967383293334185e-243
2	13	DDIT4	32.10220718383789	2.17301607131958	4.1070533859023645e-226	7.972377343948762e-223
