query_group	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0	1	0.88971424453014	0.94279402732145	0.84293031406561	0.63817500031718	0.68154008699391	0.77517522579622	0.56494119256888	0.79332301070566	0.77926637592637	0.68088835071786	0.82887223199491	0.70245253792084	0.65501111867255	0.96353016898249	0.9133884569723	0.65427440046559	0.69640166965222	0.69515491227754	0.71802072003537
1	0.88971424453014	1	0.880835296119	0.95881820539875	0.60505006182628	0.63806026202998	0.91763635636262	0.49997531823178	0.71505864937985	0.90440340790829	0.65442997045666	0.93630858654602	0.64914347657704	0.62765515178483	0.87559069589608	0.94971737189839	0.56897138879813	0.62354576132471	0.64831688385606	0.6874634514123
2	0.94279402732145	0.880835296119	1	0.92099732606888	0.63412741594621	0.6592629098945	0.84231391174601	0.56176698733471	0.807606441853	0.76812166394904	0.71424230537825	0.81693389476795	0.66557687561406	0.66187797508497	0.89178836050969	0.91643894809712	0.62886672735679	0.66655455989681	0.7446037092087	0.69756862325945
3	0.84293031406561	0.95881820539875	0.92099732606888	1	0.59337157359091	0.61126196616247	0.95094168282781	0.51238085968146	0.73037086656364	0.86647024141169	0.67622365084455	0.90494604800901	0.61284407683465	0.63278988524303	0.82173454007542	0.93719857041184	0.55652210649356	0.60254061844624	0.69782601970382	0.67543100747963
4	0.63817500031718	0.60505006182628	0.63412741594621	0.59337157359091	1	0.96884097435694	0.60626697286491	0.49195100949673	0.69077479592991	0.60481443170471	0.93781877604516	0.62698237398623	0.96621505033876	0.89029942239681	0.58995381088099	0.66080195041631	0.61177256909988	0.66421833493052	0.69118410665041	0.76694787852293
5	0.68154008699391	0.63806026202998	0.6592629098945	0.61126196616247	0.96884097435694	1	0.62028428065782	0.51303586497141	0.73895067777054	0.63730088812307	0.96259462114855	0.65941014024834	0.95481434570433	0.9379718086414	0.63755279666463	0.69014815434547	0.63434688890878	0.68904049565921	0.70223219283747	0.80977391504819
6	0.77517522579622	0.91763635636262	0.84231391174601	0.95094168282781	0.60626697286491	0.62028428065782	1	0.47894137051673	0.67590489159244	0.95104583812664	0.67903949223385	0.94562623891434	0.61214965866723	0.64518893322621	0.7490447061019	0.89877519728764	0.54766794059425	0.58061220459992	0.69859359805711	0.6743651546617
7	0.56494119256888	0.49997531823178	0.56176698733471	0.51238085968146	0.49195100949673	0.51303586497141	0.47894137051673	1	0.66274561693529	0.46799452615996	0.51396186461802	0.49105441095003	0.5601340140414	0.50543911268319	0.54266619781985	0.56300016089657	0.48240412089845	0.51817367852312	0.55782685392454	0.63838589550839
8	0.79332301070566	0.71505864937985	0.807606441853	0.73037086656364	0.69077479592991	0.73895067777054	0.67590489159244	0.66274561693529	1	0.63104078942602	0.75984795176009	0.67995040748345	0.77013393001392	0.7051548280414	0.74799419984523	0.76686530543923	0.59961886487696	0.6762185724492	0.70685710241149	0.79529576798672
9	0.77926637592637	0.90440340790829	0.76812166394904	0.86647024141169	0.60481443170471	0.63730088812307	0.95104583812664	0.46799452615996	0.63104078942602	1	0.64067060339598	0.95692524760917	0.63316673506613	0.62286655173429	0.75294235406568	0.87565800146666	0.55474150016634	0.59562318379987	0.63918235240904	0.68378311788388
10	0.68088835071786	0.65442997045666	0.71424230537825	0.67622365084455	0.93781877604516	0.96259462114855	0.67903949223385	0.51396186461802	0.75984795176009	0.64067060339598	1	0.67002436675209	0.90886311665582	0.96081021627641	0.63524147582653	0.70710522928391	0.61780855109761	0.66827891322223	0.74807403930951	0.80074280441478
11	0.82887223199491	0.93630858654602	0.81693389476795	0.90494604800901	0.62698237398623	0.65941014024834	0.94562623891434	0.49105441095003	0.67995040748345	0.95692524760917	0.67002436675209	1	0.66040105771073	0.65412261671222	0.79618960505557	0.91269370534151	0.56679906184299	0.61171285660511	0.67360598742151	0.70521987829658
12	0.70245253792084	0.64914347657704	0.66557687561406	0.61284407683465	0.96621505033876	0.95481434570433	0.61214965866723	0.5601340140414	0.77013393001392	0.63316673506613	0.90886311665582	0.66040105771073	1	0.85370632822967	0.65674352861713	0.71612448948112	0.63256685491787	0.69400804241555	0.69218606384871	0.82087092309063
13	0.65501111867255	0.62765515178483	0.66187797508497	0.63278988524303	0.89029942239681	0.9379718086414	0.64518893322621	0.50543911268319	0.7051548280414	0.62286655173429	0.96081021627641	0.65412261671222	0.85370632822967	1	0.61889626726337	0.67580978766522	0.60245161323889	0.6390880156969	0.72200870633936	0.75084710621101
14	0.96353016898249	0.87559069589608	0.89178836050969	0.82173454007542	0.58995381088099	0.63755279666463	0.7490447061019	0.54266619781985	0.74799419984523	0.75294235406568	0.63524147582653	0.79618960505557	0.65674352861713	0.61889626726337	1	0.88430843105908	0.62561942341472	0.66111843922058	0.66706588581769	0.68285438518994
15	0.9133884569723	0.94971737189839	0.91643894809712	0.93719857041184	0.66080195041631	0.69014815434547	0.89877519728764	0.56300016089657	0.76686530543923	0.87565800146666	0.70710522928391	0.91269370534151	0.71612448948112	0.67580978766522	0.88430843105908	1	0.64140993318317	0.70126504867739	0.72284790544165	0.73842833303819
16	0.65427440046559	0.56897138879813	0.62886672735679	0.55652210649356	0.61177256909988	0.63434688890878	0.54766794059425	0.48240412089845	0.59961886487696	0.55474150016634	0.61780855109761	0.56679906184299	0.63256685491787	0.60245161323889	0.62561942341472	0.64140993318317	1	0.8146587849692	0.61253322039222	0.60903943377216
17	0.69640166965222	0.62354576132471	0.66655455989681	0.60254061844624	0.66421833493052	0.68904049565921	0.58061220459992	0.51817367852312	0.6762185724492	0.59562318379987	0.66827891322223	0.61171285660511	0.69400804241555	0.6390880156969	0.66111843922058	0.70126504867739	0.8146587849692	1	0.63507925073672	0.66343820101505
18	0.69515491227754	0.64831688385606	0.7446037092087	0.69782601970382	0.69118410665041	0.70223219283747	0.69859359805711	0.55782685392454	0.70685710241149	0.63918235240904	0.74807403930951	0.67360598742151	0.69218606384871	0.72200870633936	0.66706588581769	0.72284790544165	0.61253322039222	0.63507925073672	1	0.69741860269237
19	0.71802072003537	0.6874634514123	0.69756862325945	0.67543100747963	0.76694787852293	0.80977391504819	0.6743651546617	0.63838589550839	0.79529576798672	0.68378311788388	0.80074280441478	0.70521987829658	0.82087092309063	0.75084710621101	0.68285438518994	0.73842833303819	0.60903943377216	0.66343820101505	0.69741860269237	1
