query_group	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
0	0.9999510171695	0.89137446385448	0.84852100429147	0.94244552328612	0.63743530824305	0.68376488630782	0.55929967153106	0.7566971216267	0.79259968962123	0.78078547979027	0.68244812214481	0.829130039337	0.90756654650974	0.65807849042349	0.67961477229106	0.96347435280346	0.65480332468685	0.69231452860225	0.69544720088751
1	0.88715957621425	0.99998263387584	0.96195600294599	0.86406110258329	0.60360431910583	0.64050806751143	0.49375570821873	0.89844058141635	0.71437023394797	0.90599823015985	0.6606436566244	0.93597725606388	0.93607224920991	0.62990348363366	0.63585404404286	0.87023410581591	0.56930736114095	0.62132256268008	0.64834774828922
2	0.94279927321397	0.88248817147993	0.9230412605598	0.99880509113903	0.63227366861697	0.66099595806274	0.55141151906593	0.82694032402453	0.80711623168802	0.76965895579868	0.71740105823191	0.81819926064391	0.90200657405274	0.66269185424606	0.64863902900841	0.88986522314255	0.62930750024248	0.6634156267847	0.74475796257042
3	0.84099076286892	0.95914169681807	0.99905235151575	0.90587419050043	0.59096074666768	0.61341158104001	0.50239273528887	0.93614317330171	0.72984574238224	0.86822938440877	0.68639103539919	0.90534077032958	0.91795037314882	0.63234916989158	0.60311248501627	0.81560523041167	0.55683703931372	0.59991199040613	0.69785457074345
4	0.63855787823573	0.60578063212514	0.59444699357918	0.63713033472288	0.99997068912273	0.96494923994617	0.48602356711653	0.60384616923857	0.69026004073966	0.60590212111719	0.93580454910394	0.62751768039603	0.68132597226699	0.90181114456129	0.97591589698916	0.59099891362342	0.61195056490203	0.66350374568756	0.69091956604749
5	0.68176951560615	0.63873851594326	0.61267073594105	0.66305616175908	0.96877808788164	0.99977128187972	0.50724164930697	0.61655654834343	0.73848340731651	0.63855863523293	0.95827009539881	0.65960054690967	0.71619894755712	0.94606838648344	0.95923445825937	0.63854623544681	0.63455827698404	0.68887928250285	0.70205095817693
6	0.77392969155405	0.91759409391585	0.95709090668055	0.82356031647481	0.6040155034513	0.62269045425819	0.46975557045813	0.99787411677604	0.67537108002856	0.95185903166004	0.6878376753792	0.94510649099782	0.87623262473712	0.65044993745907	0.60668754520324	0.7425475607701	0.54788989298915	0.57864468632894	0.69848721563495
7	0.56523177872204	0.50089581614158	0.51325229622771	0.56232816097918	0.49148108501169	0.51493235064264	0.99971960505657	0.47473728008168	0.66220973531291	0.46920641913608	0.5393993480238	0.49112641628915	0.60249261952261	0.50529234357355	0.538056053456	0.54286822219583	0.48292522978995	0.5143709011999	0.56154898429102
8	0.79385903069574	0.71640522782866	0.73124477695666	0.81170485132812	0.68949006522167	0.74095657944953	0.65477624818061	0.66810081077947	0.99997127416709	0.63314346058292	0.76684200193696	0.68103032890377	0.82814728626653	0.70751734004507	0.73614952442616	0.74726995556331	0.60009570602808	0.67511844241428	0.70751289817442
9	0.77818787534717	0.90384055950369	0.87767388737635	0.74859845676089	0.60397825179561	0.63983128503409	0.4625809222121	0.9510659739479	0.63024566407129	0.99995898729974	0.64934702810539	0.95503086554673	0.85807045755745	0.63271093627108	0.6249315782322	0.74751201323789	0.55498454676803	0.5938426010065	0.63921869046397
