query_group	MDA_Pt2-Ca	MDA_Pt9-Ca	MDA_Pt2-As	MDA_Pt3-As	MDA_Pt5-As	MDA_Pt5-Ov	MDA_Pt1-Ad	MDA_Pt5-Ad	MDA_Pt9-Ad	MDA_Pt2-PB	MDA_Pt5-PBMC	MDA_Pt1-Ca	MDA_Pt3-Ca	MDA_Pt4-Ca	MDA_Pt5-Ca	MDA_Pt4-As	MDA_Pt9-Li
MDA_Pt2-Ca	1	0.90602664807458	0.89346770543939	0.89344377575071	0.87103505939078	0.88597606443273	0.95738418772938	0.96433785147035	0.97130703209318	0.84974413243245	0.87923014959999	0.92410607408367	0.97820288045074	0.97300474394825	0.96513342525531	0.88536959696828	0.93417994804741
MDA_Pt9-Ca	0.90602664807458	1	0.85630798057534	0.85024709964323	0.92587134880719	0.89170895237242	0.90204881136772	0.89315726115121	0.8908463974004	0.90242853647053	0.87512537725115	0.89667381926113	0.9446556275177	0.9121188571197	0.88382401578347	0.8474689448778	0.95096901303876
MDA_Pt2-As	0.89346770543939	0.85630798057534	1	0.99290176643428	0.94002652511282	0.92210734639293	0.82129023234798	0.87486284550436	0.80996819262088	0.90707607411374	0.94739297548409	0.9281587048987	0.89770797485459	0.90958505187563	0.83980629103654	0.98181057620423	0.94347510622972
MDA_Pt3-As	0.89344377575071	0.85024709964323	0.99290176643428	1	0.93207714017047	0.91155070959124	0.82137233362232	0.88000414595157	0.80989313052347	0.89622508218336	0.93319251633494	0.92003234587502	0.89767350488382	0.9108147932317	0.84241023554356	0.98826996444334	0.94536495631467
MDA_Pt5-As	0.87103505939078	0.92587134880719	0.94002652511282	0.93207714017047	1	0.90192765735141	0.85007475919437	0.87291613432548	0.83693128814085	0.97253588046164	0.94988969127087	0.87823667655438	0.89380475302614	0.89137935246189	0.85642178542705	0.92348197078788	0.93158511609408
MDA_Pt5-Ov	0.88597606443273	0.89170895237242	0.92210734639293	0.91155070959124	0.90192765735141	1	0.86255923362153	0.85943645441557	0.81287295839147	0.88236172506749	0.93129751026814	0.94412866447712	0.90509241202559	0.92592560803826	0.83849174337239	0.89675872818955	0.94413072884798
MDA_Pt1-Ad	0.95738418772938	0.90204881136772	0.82129023234798	0.82137233362232	0.85007475919437	0.86255923362153	1	0.94451315258133	0.95730737346145	0.82758833785464	0.82513729628476	0.87701173466443	0.95780736747184	0.96400757704247	0.96148929361173	0.80969059875936	0.89317611104013
MDA_Pt5-Ad	0.96433785147035	0.89315726115121	0.87486284550436	0.88000414595157	0.87291613432548	0.85943645441557	0.94451315258133	1	0.94792313637383	0.85855579037581	0.86805575494383	0.89139407471646	0.96566253313321	0.95889039074911	0.97732670151736	0.8755370085452	0.91673126742439
MDA_Pt9-Ad	0.97130703209318	0.8908463974004	0.80996819262088	0.80989313052347	0.83693128814085	0.81287295839147	0.95730737346145	0.94792313637383	1	0.81873876956956	0.81699788403268	0.84519591836276	0.94593148124853	0.93668267427472	0.97756823861479	0.8051429842664	0.87712539982945
MDA_Pt2-PB	0.84974413243245	0.90242853647053	0.90707607411374	0.89622508218336	0.97253588046164	0.88236172506749	0.82758833785464	0.85855579037581	0.81873876956956	1	0.95296207047566	0.85328855761679	0.86842707722919	0.86558832555134	0.83708544582312	0.89713218570548	0.89473065733328
MDA_Pt5-PBMC	0.87923014959999	0.87512537725115	0.94739297548409	0.93319251633494	0.94988969127087	0.93129751026814	0.82513729628476	0.86805575494383	0.81699788403268	0.95296207047566	1	0.90526872139491	0.88853146497204	0.88250615257953	0.83808510190112	0.91525995332942	0.91790299428899
MDA_Pt1-Ca	0.92410607408367	0.89667381926113	0.9281587048987	0.92003234587502	0.87823667655438	0.94412866447712	0.87701173466443	0.89139407471646	0.84519591836276	0.85328855761679	0.90526872139491	1	0.94489346634295	0.93364548121771	0.85955169126973	0.9156421275044	0.94501434794843
MDA_Pt3-Ca	0.97820288045074	0.9446556275177	0.89770797485459	0.89767350488382	0.89380475302614	0.90509241202559	0.95780736747184	0.96566253313321	0.94593148124853	0.86842707722919	0.88853146497204	0.94489346634295	1	0.97522332920672	0.95518616210081	0.88681803364073	0.95922306130568
MDA_Pt4-Ca	0.97300474394825	0.9121188571197	0.90958505187563	0.9108147932317	0.89137935246189	0.92592560803826	0.96400757704247	0.95889039074911	0.93668267427472	0.86558832555134	0.88250615257953	0.93364548121771	0.97522332920672	1	0.95121185806925	0.90325078386943	0.95264927285672
MDA_Pt5-Ca	0.96513342525531	0.88382401578347	0.83980629103654	0.84241023554356	0.85642178542705	0.83849174337239	0.96148929361173	0.97732670151736	0.97756823861479	0.83708544582312	0.83808510190112	0.85955169126973	0.95518616210081	0.95121185806925	1	0.8356805451167	0.89463065522836
MDA_Pt4-As	0.88536959696828	0.8474689448778	0.98181057620423	0.98826996444334	0.92348197078788	0.89675872818955	0.80969059875936	0.8755370085452	0.8051429842664	0.89713218570548	0.91525995332942	0.9156421275044	0.88681803364073	0.90325078386943	0.8356805451167	1	0.93772857384803
MDA_Pt9-Li	0.93417994804741	0.95096901303876	0.94347510622972	0.94536495631467	0.93158511609408	0.94413072884798	0.89317611104013	0.91673126742439	0.87712539982945	0.89473065733328	0.91790299428899	0.94501434794843	0.95922306130568	0.95264927285672	0.89463065522836	0.93772857384803	1
