query_group	DNT	CD8_C7	CD8_C2	CD8_C0	NK_C3	NKT	NK_C4	NK_C2	NK_C1	CD4_C3	CD4_C4	NK_C6	CD8_C4	CD8_C5	CD8_C6	CD4_C5	CD8_C1	CD4_C2	CD4_C1	CD4_C6	CD4_C0	gdT	CD8_C8	NK_C7	Proliferative CD4 T cell	Proliferative NK cell	Proliferative CD8 T cell	CD8_C3	CD8_C9	B cell_C3	TAM_C3	TAM_C0	DC2_C5	TAM_C4	DC_C13	Classical Mono_C1	Classical Mono_C2	Non-classical Mono_C6	DC1_C14	Proliferating DC_C9	TAM_C7	Proliferative B cell	B cell_C2	pDCs	Plasma_C0	Plasma_C4	Plasma_C1	Proliferative plasma cell	Fibroblast_C9	Fibroblast_C15	Fibroblast_C6	Fibroblast_C1	Fibroblast_C2	Endothelial_C4	Endothelial_C7	Endothelial_C0	Endothelial_C13	Mesothelial_C12	VSMC_C3	VSMC_C14	Mast	Mesothelial_C8
DNT	1	0.95832208855506	0.94312474447634	0.95790271723989	0.90519421599883	0.94196753674499	0.88288766436385	0.86031555595059	0.85380960448124	0.93421862880371	0.97962891217719	0.9039645408429	0.91342464512997	0.94461269269854	0.91492656375093	0.93737988774888	0.92852292374201	0.92404700354567	0.94945584594063	0.91380912802074	0.92756723275067	0.96441295088829	0.90719158113155	0.91011638783151	0.93483871043488	0.8983187865818	0.92826309352163	0.95879061936275	0.95731985422462	0.79147504247623	0.72225903336541	0.69041425203609	0.76433706075194	0.71647369049444	0.83613884508263	0.71684999948709	0.74074602650328	0.73623966699193	0.77011621374238	0.73337554045813	0.71838197618214	0.87264819011145	0.81239607942516	0.77803124592851	0.58963759892688	0.58415574834341	0.58452328205645	0.70068884986277	0.65365481187326	0.65255205652451	0.67122873317884	0.58755654229283	0.64758989995816	0.69392754208559	0.6668718067392	0.70061661590802	0.68812637247408	0.65750893491132	0.63993347778336	0.65642647558615	0.74068894817345	0.74804210428778
CD8_C7	0.95832208855506	1	0.97828283523459	0.98266621166114	0.92245741669856	0.96938252942864	0.89549456981464	0.90155508386599	0.86784416693883	0.91104886391259	0.96279958415406	0.90878931370717	0.97263670920697	0.97970993801101	0.96708755481712	0.94435707483602	0.98169072001587	0.92019903717352	0.89175497760679	0.89729841279004	0.86633205000448	0.96882078894368	0.96540160634197	0.94576067212639	0.90001182080744	0.90695472938007	0.94852069496872	0.94277535149607	0.94801513856016	0.75599648606203	0.66783635897671	0.61103892070991	0.67876074372599	0.62408193716081	0.77043263651916	0.64055840405192	0.66787410903503	0.66654480412151	0.68899975437538	0.6501393013585	0.62569060601458	0.78231472031165	0.76314593907455	0.72540417860258	0.53861179399514	0.52969128583898	0.50628222757275	0.62794911148079	0.59229650067523	0.58690491970178	0.6079329045205	0.52241109067546	0.58159624685069	0.62861549676612	0.6062800405797	0.63996856579642	0.63290342899499	0.58075183999741	0.57622768082449	0.58042735013348	0.7125092602869	0.66948844450263
CD8_C2	0.94312474447634	0.97828283523459	1	0.99151563545713	0.9268880091606	0.98435901542719	0.91651386187319	0.90492794419013	0.88159321189624	0.85887837348578	0.93586466189509	0.90449386977341	0.96025853871322	0.95266646759497	0.97049636834749	0.89904613298858	0.97823194468986	0.85449825496508	0.83403693074176	0.83364585161732	0.79919443097002	0.97200678810748	0.97837630623507	0.94903547175358	0.87782060811835	0.9194828355956	0.96512940488213	0.90443266838042	0.94979534805348	0.71022988354929	0.64150530869849	0.59801025878293	0.66628072823196	0.61573537545964	0.73907059679464	0.62310949758939	0.65285853475144	0.63766917104558	0.68295747151907	0.64099134869706	0.60768568937488	0.77145262512325	0.71856517537415	0.69063437484712	0.49941520480575	0.4972063720843	0.47880461262231	0.6021824409145	0.55222113498336	0.55514650788852	0.57332254596756	0.49330301497064	0.5463451472188	0.60525270698128	0.57502146047975	0.62035082537716	0.59975061395615	0.55936060917056	0.54604728452011	0.54832954104009	0.66825596464335	0.63892472076314
CD8_C0	0.95790271723989	0.98266621166114	0.99151563545713	1	0.92005004262054	0.97952229242737	0.89870856168026	0.889110905176	0.86483042096611	0.88143633064048	0.95335300403312	0.89850062148986	0.96092252919936	0.96426410424358	0.96069176833122	0.91120191466361	0.97764198023707	0.88465421198749	0.86670752298402	0.86114319302781	0.83630830802626	0.97734404348905	0.96051897838824	0.93301867081403	0.8854023844129	0.90149994487727	0.95043828704684	0.9325735469694	0.96542797924162	0.73630082286073	0.65604090871871	0.60763968449143	0.68079573644145	0.62698630237243	0.76439883206317	0.63378174546495	0.66272091317387	0.65495529488906	0.69845175234637	0.65003472382478	0.62049280316638	0.78261504635184	0.74598515135451	0.69716292927125	0.52137137287076	0.51843115965341	0.5001138009415	0.61673516539182	0.57187015902537	0.57167114651318	0.59376938911077	0.51109084442456	0.56558950058702	0.62169291778508	0.58926656106832	0.63517278475935	0.61917703665231	0.57431107992784	0.56060880889875	0.56644470545006	0.6828223951181	0.6551319633564
NK_C3	0.90519421599883	0.92245741669856	0.9268880091606	0.92005004262054	1	0.93513547463452	0.94450077555618	0.96339281626323	0.95037552946717	0.80560872155716	0.89094295695964	0.96960114087019	0.92185639726536	0.91880624381212	0.95936110556679	0.8525763567472	0.92900562535627	0.82195104663267	0.78500348039708	0.79493893592548	0.7585858781478	0.95508456590794	0.92317347254459	0.97301468506938	0.82019775265045	0.9614332720765	0.90774104543279	0.83616087594609	0.86413740533955	0.69317540305579	0.67668350341608	0.62629028260605	0.68006698360901	0.63189919104494	0.73705435282775	0.65727814427858	0.68424368382345	0.68483085873995	0.66759969506144	0.66026820343091	0.63980637087968	0.73948103643317	0.69937427359739	0.70423100380695	0.50270737534965	0.49458893810108	0.47497800484961	0.5914324561724	0.55387333895061	0.55091470173205	0.56723018416337	0.49737189509632	0.55108521879966	0.59039170342963	0.57152816011273	0.59659088107473	0.59612401252333	0.55346490004617	0.54813905492182	0.54648681823793	0.71864123432521	0.64119026647591
NKT	0.94196753674499	0.96938252942864	0.98435901542719	0.97952229242737	0.93513547463452	1	0.95740914388292	0.9434463707891	0.92714550560852	0.85101438619622	0.9334944900711	0.92686920705499	0.95277640248498	0.95162032520214	0.97508270123182	0.89460667014499	0.97076543857152	0.85581748117303	0.8399042139677	0.83139381234841	0.80871703187856	0.97866948817146	0.96886816152233	0.9533052764024	0.86274396878756	0.93572007481537	0.95475452541018	0.90485522644144	0.92570063210454	0.70194150846023	0.64759831612385	0.60452919884724	0.6654261051291	0.61971300650538	0.73946869627911	0.63117629352869	0.65958850433593	0.65156351603345	0.67878491463144	0.64329313202405	0.61684165081913	0.76619547621037	0.71211214287404	0.69046986830778	0.50806915812086	0.50059255613388	0.48574900487921	0.60156380284449	0.56993788194526	0.56993605366393	0.58740636055859	0.51325385073538	0.56520850114686	0.60959803875987	0.58479650447106	0.61718393540019	0.60968336975702	0.5687003775803	0.56156992597408	0.56545847604557	0.68178252036007	0.6474802420184
NK_C4	0.88288766436385	0.89549456981464	0.91651386187319	0.89870856168026	0.94450077555618	0.95740914388292	1	0.97324045072641	0.98512505874464	0.774833670012	0.86348670229946	0.94398392484086	0.87573628364085	0.87924798625131	0.93763054133048	0.818262282889	0.8946927511506	0.76828887427452	0.76343230750196	0.74571737474363	0.73430287600497	0.9386857952914	0.91506928887846	0.94515817921319	0.79276761852396	0.95231359900953	0.89903565775724	0.8130859711942	0.84156157644944	0.64389406098669	0.63488160251434	0.60582420157233	0.6577346979393	0.6182094338802	0.70699371115677	0.63415892792638	0.6571017595388	0.65864784805019	0.65413757784322	0.63775799651969	0.62391367977765	0.72592090183568	0.65690863046521	0.68736403366139	0.47458638192472	0.47116720169476	0.46049740155093	0.56622146905877	0.53910046543429	0.54276433704573	0.55625013474551	0.49350004610484	0.54038305893943	0.58050437945889	0.56338357643411	0.5891060623317	0.58036599619976	0.54417301255541	0.53918413886427	0.53843291177708	0.66209805688632	0.62701464206345
NK_C2	0.86031555595059	0.90155508386599	0.90492794419013	0.889110905176	0.96339281626323	0.9434463707891	0.97324045072641	1	0.9729752140581	0.7775089947894	0.85180352493609	0.94926220608565	0.91819166480778	0.90015678205127	0.96297387919985	0.8374770933144	0.92280005005862	0.79963619636651	0.7409766759821	0.77073514204018	0.71513556480506	0.92787122147567	0.92568643876643	0.96111874760981	0.78900609656473	0.95537451538226	0.89693851197525	0.79239790400497	0.80828045326518	0.66562014449846	0.66420401965079	0.60256893268171	0.64540133994662	0.60007016439634	0.71131829297593	0.63547600857369	0.66180847457687	0.66898609553839	0.63877574316653	0.63471124324625	0.60850709460804	0.69683435496242	0.66688254664561	0.67465907453363	0.48824313280289	0.47347813881413	0.44603782751539	0.56292253619265	0.54294754727431	0.5345750072705	0.55623200804911	0.49108878686102	0.53817757687197	0.57015829523438	0.55169062757087	0.57202303188639	0.58413083017158	0.53069474044137	0.53587188882015	0.5257400434312	0.70470336517083	0.6123107041192
NK_C1	0.85380960448124	0.86784416693883	0.88159321189624	0.86483042096611	0.95037552946717	0.92714550560852	0.98512505874464	0.9729752140581	1	0.73912002663498	0.82941581537029	0.94834028450044	0.84791907298217	0.8566613269926	0.91617039561261	0.78525498638513	0.86783474394017	0.73988344565955	0.73269701214097	0.71581260033075	0.7097138778624	0.91090736615334	0.88766029580948	0.93290104376136	0.75959853568565	0.95269304453943	0.87272232579612	0.78763323495704	0.80492297868688	0.62949468350623	0.63809138117732	0.6089610935562	0.65215870528625	0.61650707247013	0.69464174869122	0.63859510830109	0.66025545953336	0.66709950829272	0.64151901429402	0.63781062158442	0.62925263604041	0.71174938504252	0.64216966624988	0.68424900806393	0.47553707508863	0.46854974468932	0.4600958977012	0.56633911947964	0.54958368207742	0.55110332599662	0.56144463220712	0.51174245567354	0.55318312015327	0.58823561386542	0.57871886137348	0.5888690975788	0.58760447587562	0.55689183631096	0.55137163223206	0.55139440020805	0.67471067649708	0.63131308515769
CD4_C3	0.93421862880371	0.91104886391259	0.85887837348578	0.88143633064048	0.80560872155716	0.85101438619622	0.774833670012	0.7775089947894	0.73912002663498	1	0.95328376243086	0.81310575619922	0.87899126160341	0.91000241697199	0.84952271826649	0.97097680333095	0.88030897547384	0.97266618426993	0.96144730670096	0.98438889834262	0.94475994332992	0.88020673830267	0.84998616058631	0.84043751346986	0.94508954366946	0.80095614798132	0.85055390943029	0.9169810428276	0.89951002626006	0.82060872589452	0.70711780014518	0.6534071279513	0.73142162761117	0.66612315692612	0.83160527453708	0.67649299164485	0.6964244610238	0.70976933549145	0.7413231972416	0.68925964258425	0.68125661987925	0.81270451803036	0.82875635960093	0.72934289211121	0.57777744805426	0.57618638085023	0.54583098319497	0.67534736861836	0.65039999752112	0.63994324236801	0.66968446514422	0.56970925110391	0.6374040475408	0.6846485906599	0.65878018955823	0.69210665758963	0.69328616535542	0.63556057178984	0.62951361090716	0.64127730692913	0.73296253694164	0.71926492564535
CD4_C4	0.97962891217719	0.96279958415406	0.93586466189509	0.95335300403312	0.89094295695964	0.9334944900711	0.86348670229946	0.85180352493609	0.82941581537029	0.95328376243086	1	0.88669658791733	0.92923741583966	0.96043990575323	0.91324601467525	0.97180425853841	0.93633093692207	0.95707052657561	0.95969634462244	0.93945136569204	0.93278157599775	0.96438853943188	0.90485853470318	0.90739688591907	0.92896801686311	0.87620097172784	0.90931510771426	0.9506870105939	0.94711456630746	0.76994696706385	0.68189399806477	0.63719440117258	0.70225920794848	0.65447873187501	0.79539031602617	0.66224707423251	0.68677510150163	0.68248163645916	0.71045958708512	0.67220200152604	0.66046430366929	0.81553663217116	0.78363690476926	0.71891173174195	0.55529078754348	0.54827221055332	0.53543843778536	0.65451012595648	0.63690703813648	0.63470858872781	0.6468733137303	0.5643981098927	0.62772058115085	0.66697251363376	0.64550260261816	0.66761415802272	0.66596205424525	0.6262939795866	0.62111105038051	0.6350541678715	0.72122219034091	0.70623420417627
