feature_set	gene
correlation_features	MRC1
correlation_features	FCER1G
correlation_features	EPCAM
correlation_features	KRT8
correlation_features	KRT18
correlation_features	KRT19
correlation_features	MUC1
correlation_features	PECAM1
correlation_features	VWF
correlation_features	ENG
correlation_features	KDR
correlation_features	COL1A1
correlation_features	COL1A2
correlation_features	DCN
correlation_features	LUM
correlation_features	ACTA2
correlation_features	RGS5
correlation_features	MKI67
correlation_features	TOP2A
correlation_features	STMN1
correlation_features	TPSAB1
correlation_features	CPA3
correlation_features	IRF7
correlation_features	CD37
correlation_features	HLA-DRA
correlation_features	SERPINF1
correlation_features	IRF8
correlation_features	PLD4
correlation_features	SSR4
correlation_features	DERL3
correlation_features	IGHA1
correlation_features	GNG11
correlation_features	IGFBP7
correlation_features	SPARC
correlation_features	IFI27
correlation_features	EGFL7
correlation_features	CALD1
correlation_features	COL3A1
correlation_features	IER2
correlation_features	TPSB2
correlation_features	MS4A2
correlation_features	CLU
correlation_features	CTSB
correlation_features	FTL
correlation_features	PSAP
correlation_features	CTSL
correlation_features	SAT1
correlation_features	PLAUR
correlation_features	FTH1
correlation_features	NAMPT
correlation_features	HLA-DPB1
correlation_features	TMSB4X
correlation_features	EEF1A1
correlation_features	LDHB
correlation_features	TPT1
correlation_features	TNFAIP3
correlation_features	JUNB
correlation_features	SPOCK2
correlation_features	RGS1
correlation_features	BTG1
correlation_features	CCL5
correlation_features	IL32
correlation_features	DUSP2
correlation_features	NR4A2
correlation_features	CD69
correlation_features	EEF1B2
correlation_features	ACTG1
correlation_features	GAPDH
correlation_features	ACTB
correlation_features	PPIA
correlation_features	PTMA
correlation_features	FGFBP2
correlation_features	CTSW
correlation_features	CST7
correlation_features	CCL4
correlation_features	CD7
correlation_features	XCL1
correlation_features	CTSS
correlation_features	TYROBP
