Cluster	category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
T/NK	Human Diseases	Cancer: overview	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	16/208	88/7622	0.181818181818182	6.66258741258741	8.94859400679226	1.36031112770153e-09	9.54938411646476e-08	9.54938411646476e-08	919/915/3458/917/5295/7535/27436/3932/6774/940/10538/3725/916/27040/4792/2353	16
T/NK	Human Diseases	Infectious disease: viral	hsa05162	Measles	18/208	121/7622	0.148760330578512	5.45120788302606	8.26651270038796	3.62594817128348e-09	2.12117968020084e-07	2.12117968020084e-07	8717/915/868/7128/896/917/5295/3312/6774/940/3725/916/3560/1027/10399/8667/4792/2353	18
T/NK	Human Diseases	Immune disease	hsa05340	Primary immunodeficiency	10/208	36/7622	0.277777777777778	10.178952991453	9.24590303100486	2.52534894995676e-08	1.26628211633546e-06	1.26628211633546e-06	959/5788/915/3575/7535/3932/29851/916/926/925	10
T/NK	Human Diseases	Immune disease	hsa05332	Graft-versus-host disease	10/208	39/7622	0.256410256410256	9.39595660749507	8.80426930604836	5.87964230568121e-08	2.56516653284812e-06	2.56516653284812e-06	3458/3821/3133/3824/3002/3107/940/3106/5551/3105	10
T/NK	Human Diseases	Infectious disease: viral	hsa05167	Kaposi sarcoma-associated herpesvirus infection	20/208	178/7622	0.112359550561798	4.11732929991357	7.04856741567748	6.57735008422596e-08	2.56516653284812e-06	2.56516653284812e-06	8717/7311/3133/9976/4609/7314/5295/6774/7538/51176/3107/3106/7316/3725/6932/54331/3105/801/4792/2353	20
T/NK	Organismal Systems	Immune system	hsa04658	Th1 and Th2 cell differentiation	14/208	90/7622	0.155555555555556	5.70021367521367	7.51268289958084	1.19060213830415e-07	4.04619499666894e-06	4.04619499666894e-06	919/915/3458/864/917/7535/3932/30009/3725/916/3560/27040/4792/2353	14
T/NK	Human Diseases	Infectious disease: viral	hsa05169	Epstein-Barr virus infection	20/208	186/7622	0.10752688172043	3.94023986765922	6.79956141920303	1.37338610875253e-07	4.04619499666894e-06	4.04619499666894e-06	8717/919/915/864/3133/7128/4609/896/917/5295/6774/4616/3107/3106/567/3725/916/1027/3105/4792	20
T/NK	Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecule (CAM) interaction	18/208	152/7622	0.118421052631579	4.3394483805668	6.96542443764859	1.38331452877571e-07	4.04619499666894e-06	4.04619499666894e-06	6404/959/5788/3133/923/6693/3107/940/3106/29851/914/3105/6402/1493/4267/926/3689/925	18
T/NK	Organismal Systems	Immune system	hsa04062	Chemokine signaling pathway	20/208	190/7622	0.105263157894737	3.85728744939271	6.68019655266556	1.95358450789284e-07	5.27467817131066e-06	5.27467817131066e-06	6375/6348/6351/6846/10663/9560/3702/2268/5880/7852/2833/5908/1524/5295/1236/6774/54331/1235/6352/4792	20
T/NK	Human Diseases	Immune disease	hsa05330	Allograft rejection	9/208	36/7622	0.25	9.16105769230769	8.22058334145241	3.50679911344048e-07	8.7920463486972e-06	8.7920463486972e-06	959/3458/3133/3002/3107/940/3106/5551/3105	9
T/NK	Human Diseases	Immune disease	hsa05320	Autoimmune thyroid disease	9/208	37/7622	0.243243243243243	8.91346153846154	8.08166646386263	4.52537302795814e-07	1.0119615336488e-05	1.0119615336488e-05	959/3133/3002/3107/940/3106/5551/3105/1493	9
T/NK	Organismal Systems	Development and regeneration	hsa04380	Osteoclast differentiation	16/208	131/7622	0.122137404580153	4.47563123899002	6.7206425732503	4.61293006791478e-07	1.0119615336488e-05	1.0119615336488e-05	3726/7040/9021/3458/7305/1540/5295/3932/8651/814/3725/2214/2534/2354/4792/2353	16
T/NK	Human Diseases	Infectious disease: viral	hsa05170	Human immunodeficiency virus 1 infection	19/208	196/7622	0.0969387755102041	3.55224686028257	6.06295854665573	1.43150087663409e-06	2.9556282805798e-05	2.9556282805798e-05	8717/919/915/3133/60489/5880/7852/917/5295/3107/3106/567/3725/916/54331/3105/801/4792/2353	19
T/NK	Human Diseases	Infectious disease: viral	hsa05166	Human T-cell leukemia virus 1 infection	20/208	218/7622	0.091743119266055	3.36185603387438	5.92597508240867	1.78498103129175e-06	3.48071301101892e-05	3.48071301101892e-05	7040/915/3133/4609/896/917/5295/3932/2113/7538/3107/3106/567/3725/916/3560/3105/3689/4792/2353	20
T/NK	Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	22/208	266/7622	0.0827067669172932	3.03072585309427	5.6465426561903	3.03231029938789e-06	5.60179428992184e-05	5.60179428992184e-05	7040/959/6375/939/3458/3575/6348/6351/6846/10663/9560/7852/2833/1524/1236/4050/8718/3560/7293/1235/6352/9235	22
T/NK	Environmental Information Processing	Signal transduction	hsa04064	NF-kappa B signaling pathway	13/208	102/7622	0.127450980392157	4.6703431372549	6.2504198568249	3.52224497832845e-06	6.18153993696643e-05	6.18153993696643e-05	8717/959/330/6351/1540/9560/7128/7535/4050/3932/4616/27040/4792	13
T/NK	Human Diseases	Cardiovascular disease	hsa05416	Viral myocarditis	10/208	64/7622	0.15625	5.72566105769231	6.35858483328503	7.72045575486866e-06	0.000129041903331376	0.000129041903331376	959/3133/5880/3107/940/3106/5551/3105/2534/3689	10
T/NK	Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	12/208	94/7622	0.127659574468085	4.67798690671031	6.00960126815154	8.29342704728568e-06	0.000132317858799876	0.000132317858799876	3672/921/915/3575/2323/917/951/914/916/924/926/925	12
T/NK	Environmental Information Processing	Signaling molecules and interaction	hsa04061	Viral protein interaction with cytokine and cytokine receptor	12/208	99/7622	0.121212121212121	4.44172494172494	5.77310668194261	1.4240540757266e-05	0.00020348027064575	0.00020348027064575	6375/6348/6351/6846/9560/7852/2833/1524/1236/3560/1235/6352	12
T/NK	Human Diseases	Endocrine and metabolic disease	hsa04940	Type I diabetes mellitus	8/208	42/7622	0.19047619047619	6.97985347985348	6.50866535505403	1.42773075919181e-05	0.00020348027064575	0.00020348027064575	3458/3133/3002/3107/940/3106/5551/3105	8
T/NK	Human Diseases	Infectious disease: viral	hsa05163	Human cytomegalovirus infection	18/208	209/7622	0.0861244019138756	3.15596245859404	5.29332664627347	1.44928967696403e-05	0.00020348027064575	0.00020348027064575	8717/6348/3133/6351/9560/4609/5880/7852/5295/6774/3107/3106/567/54331/3105/6352/801/4792	18
T/NK	Environmental Information Processing	Signal transduction	hsa04668	TNF signaling pathway	13/208	118/7622	0.110169491525424	4.03707627118644	5.56880033737869	1.78369399078159e-05	0.000240798688755515	0.000240798688755515	3659/3726/8717/9021/1326/330/1540/7128/5295/3725/6352/4792/2353	13
T/NK	Human Diseases	Infectious disease: parasitic	hsa05142	Chagas disease	12/208	102/7622	0.117647058823529	4.31108597285068	5.63862198667312	1.9369460641268e-05	0.000251802988336484	0.000251802988336484	919/7040/915/3458/6348/917/5295/3725/916/6352/4792/2353	12
T/NK	Human Diseases	Infectious disease: viral	hsa05168	Herpes simplex virus 1 infection	14/208	160/7622	0.0875	3.20637019230769	4.72413291413723	0.000112484244831372	0.00141007035485041	0.00141007035485041	8717/9021/3458/3133/330/6427/5295/3107/3106/567/3105/6432/6352/4792	14
T/NK	Human Diseases	Infectious disease: bacterial	hsa05132	Salmonella infection	18/208	246/7622	0.0731707317073171	2.6812851782364	4.4896226602246	0.000125325710216048	0.00151687325123562	0.00151687325123562	8717/3326/2316/5788/3320/330/79026/5216/7277/4609/399/51176/103910/3725/6932/10627/4792/2353	18
T/NK	Human Diseases	Immune disease	hsa05323	Rheumatoid arthritis	10/208	91/7622	0.10989010989011	4.02683854606932	4.86513600822909	0.000172505506235729	0.00201831442295803	0.00201831442295803	7040/3458/6348/4050/940/3725/1493/3689/6352/2353	10
