Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
T/NK	GO:0002702	positive regulation of production of molecular mediator of immune response	9/327	112/15651	0.0803571428571429	3.84608453473132	4.4156053311285	0.000566424058756202	0.00915585178261441	0.00915585178261441	TGFB1/XCL1/PTPRC/HLA-E/TBX21/B2M/HLA-A/TNFRSF4/CD7	9
T/NK	GO:0007259	cell surface receptor signaling pathway via JAK-STAT	10/327	136/15651	0.0735294117647059	3.51929303831624	4.3103965496521	0.000574642837165639	0.0092615214927291	0.0092615214927291	PTPRC/SOCS3/IFNG/IL7R/OCIAD2/CISH/STAT3/SOCS1/IL2RB/CALM1	10
T/NK	GO:0002221	pattern recognition receptor signaling pathway	15/327	270/15651	0.0555555555555556	2.65902140672783	4.01685876048901	0.000576207523645081	0.0092615214927291	0.0092615214927291	IRF1/TRAF3IP3/BIRC3/GBP5/CYLD/TNFAIP3/NOP53/PIK3R1/HSPA8/NFKBIZ/PTPN22/ABHD17A/CD300A/HMGB1/NFKBIA	15
T/NK	GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus	6/327	50/15651	0.12	5.74348623853211	4.90739938707365	0.000582078667540215	0.00930347584589487	0.00930347584589487	TGFB1/CD40LG/NFKBIZ/BATF/CCR6/HMGB1	6
T/NK	GO:0016444	somatic cell DNA recombination	6/327	50/15651	0.12	5.74348623853211	4.90739938707365	0.000582078667540215	0.00930347584589487	0.00930347584589487	TGFB1/CD40LG/NFKBIZ/BATF/CCR6/HMGB1	6
T/NK	GO:0010959	regulation of metal ion transport	16/327	302/15651	0.0529801324503311	2.53575551370071	3.93668338494123	0.00063907452887741	0.0101580411909018	0.0101580411909018	TGFB1/FLNA/XCL1/IFNG/CCL3/CCL4/MCUB/CXCR3/BIN1/FXYD5/B2M/PDE4B/FYN/SARAF/CCL5/CALM1	16
T/NK	GO:0045637	regulation of myeloid cell differentiation	11/327	163/15651	0.0674846625766871	3.22997692350988	4.18062753552395	0.000639105640997852	0.0101580411909018	0.0101580411909018	TGFB1/IFNG/CCL3/TYROBP/MYC/ID2/STAT3/ETS1/ZFP36/LEF1/CAMK4	11
T/NK	GO:0038066	p38MAPK cascade	6/327	51/15651	0.117647058823529	5.63086886130599	4.83871727505358	0.000648264760666681	0.0102749964565669	0.0102749964565669	CYLD/EZR/PTPN22/GADD45B/ZFP36/DUSP1	6
T/NK	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	5/327	34/15651	0.147058823529412	7.03858607663249	5.14897626981981	0.000653059778244402	0.0103223243619461	0.0103223243619461	HLA-E/HLA-C/HLA-B/B2M/HLA-A	5
T/NK	GO:0071222	cellular response to lipopolysaccharide	12/327	190/15651	0.0631578947368421	3.02288749396427	4.0980260568504	0.000664634656429975	0.010476257871794	0.010476257871794	PDCD4/CD6/GBP5/TNFAIP3/PLSCR3/CX3CR1/NFKBIZ/PTPN22/ZFP36/B2M/PDE4B/HMGB1	12
T/NK	GO:0032930	positive regulation of superoxide anion generation	4/327	20/15651	0.2	9.57247706422018	5.60367479935118	0.000695586247240576	0.0109339259690213	0.0109339259690213	TGFB1/TYROBP/SOD1/ITGB2	4
T/NK	GO:0032615	interleukin-12 production	6/327	52/15651	0.115384615384615	5.52258292166549	4.77182828146387	0.000720135054926496	0.011257782529892	0.011257782529892	CD40LG/IFNG/CCR7/LTB/HLA-B/HMGB1	6
T/NK	GO:0032655	regulation of interleukin-12 production	6/327	52/15651	0.115384615384615	5.52258292166549	4.77182828146387	0.000720135054926496	0.011257782529892	0.011257782529892	CD40LG/IFNG/CCR7/LTB/HLA-B/HMGB1	6
T/NK	GO:1901654	response to ketone	12/327	192/15651	0.0625	2.99139908256881	4.0556754519647	0.000729021439217978	0.0113655637491196	0.0113655637491196	TGFB1/PTPRC/TXNIP/PTGDR/BTG2/NR3C1/CCR7/TBX21/DUSP1/GNG2/FOSB/FOS	12
T/NK	GO:0032735	positive regulation of interleukin-12 production	5/327	35/15651	0.142857142857143	6.83748361730013	5.05033018073466	0.00074901465886371	0.011599679160977	0.011599679160977	CD40LG/IFNG/CCR7/LTB/HMGB1	5
T/NK	GO:0046209	nitric oxide metabolic process	7/327	72/15651	0.0972222222222222	4.6532874617737	4.53863524694996	0.000750136980441731	0.011599679160977	0.011599679160977	KLF2/HSP90AB1/IFNG/HSP90AA1/NOSIP/CX3CR1/ITGB2	7
T/NK	GO:1902893	regulation of miRNA transcription	7/327	72/15651	0.0972222222222222	4.6532874617737	4.53863524694996	0.000750136980441731	0.011599679160977	0.011599679160977	TGFB1/MYC/NR3C1/STAT3/ETS1/JUN/FOS	7
T/NK	GO:0006887	exocytosis	17/327	338/15651	0.0502958579881657	2.40727973508496	3.82079395795467	0.000783002588606108	0.0120454017226323	0.0120454017226323	PLEK/IFNG/CCL3/FCER1G/NKG7/PTGDR/SYTL3/FGR/CORO1A/RAC2/RAP1B/MYH9/CD300A/LAT/FCGR3A/ITGB2/CCL5	17
T/NK	GO:0071216	cellular response to biotic stimulus	13/327	221/15651	0.0588235294117647	2.815434430653	3.97044072904523	0.000783183322659759	0.0120454017226323	0.0120454017226323	PDCD4/CD6/GBP5/TXNIP/TNFAIP3/PLSCR3/CX3CR1/NFKBIZ/PTPN22/ZFP36/B2M/PDE4B/HMGB1	13
T/NK	GO:0051924	regulation of calcium ion transport	12/327	194/15651	0.0618556701030928	2.96055991676913	4.01387049788867	0.00079854924551076	0.0122487150400118	0.0122487150400118	TGFB1/XCL1/CCL3/CCL4/MCUB/CXCR3/BIN1/PDE4B/FYN/SARAF/CCL5/CALM1	12
