gene	cluster	rank	score	logfoldchange	pval	pval_adj	n_cells	dominant_existing_celltype	classic_marker_based_label	proposed_global_annotation	broad_annotation	is_technical	neg_log10_padj	de_status	ENTREZID
XBP1	7	18	30.6432132720947	2.55816960334778	3.25443948268474e-206	5.29596690906829e-204	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	203.276054737174	up	7494
RALGPS2	8	17	30.3497447967529	5.83844137191772	2.53208320992171e-202	2.86716222136802e-199	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	198.542547734381	up	55103
POU2AF1	7	19	30.1203308105469	4.35456657409668	2.62518356204132e-199	4.14779002802528e-197	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	196.382183236849	up	5450
LINC00926	8	18	30.1282501220703	9.18531131744385	2.06756799644105e-199	2.24752911485128e-196	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	195.648294673638	up	283663
CD19	8	19	29.6659545898438	7.58658266067505	2.111877525335e-193	2.20739937032708e-190	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	189.65611908567	up	930
IGHA2	7	20	28.9120426177979	7.98164415359497	8.4260066623842e-184	1.23775760571326e-181	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	180.907364396356	up	3494
PLPP5	7	21	28.684814453125	2.88498330116272	5.90183674374177e-181	8.53129336957055e-179	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	178.0689851235	up	84513
HLA-DMA	8	22	28.6689624786377	2.64114189147949	9.30361866894158e-181	7.66167093779262e-178	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	177.115676504529	up	3108
SPCS2	7	22	28.566442489624	1.86703372001648	1.75534731017732e-179	2.48454783861348e-177	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	176.604752636735	up	9789
IGHM	8	23	28.4943351745605	6.3534460067749	1.37692065090578e-178	1.10056457673575e-175	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	174.958384469697	up	3507
FCMR	8	24	28.326473236084	2.51701760292053	1.63165601633792e-176	1.26691096857141e-173	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	172.897253903835	up	9214
JSRP1	7	23	27.585880279541	7.31551170349121	1.6436713403634e-167	2.14751982431326e-165	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	164.668062818393	up	126306
ITM2C	7	24	27.4641571044922	2.44293928146362	4.70751078853406e-166	5.95029363670706e-164	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	163.225461602061	up	81618
CD83	8	26	27.3641300201416	3.81868195533752	7.33302625753282e-165	5.24427162038715e-162	861	B cell_C3	B/Plasma	B/Plasma | ref:B cell_C3	B/Plasma	FALSE	161.280314822668	up	9308
UBE2J1	7	25	26.9769706726074	2.43096280097961	2.75385509208224e-160	3.35599847454829e-158	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	157.47417824525	up	51465
SEC61B	7	26	26.9391651153564	1.50408411026001	7.64137217130079e-160	9.22941911676757e-158	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	157.034825631837	up	10952
