gene	cluster	rank	score	logfoldchange	pval	pval_adj	n_cells	dominant_existing_celltype	classic_marker_based_label	proposed_global_annotation	broad_annotation	is_technical	neg_log10_padj	de_status	ENTREZID
SERPINF1	19	2	13.0530872344971	7.63384866714478	6.10232409863931e-39	8.2918379852311e-35	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	34.0813491922038	up	5176
GZMB	19	3	12.8995361328125	5.98865985870361	4.52817007064234e-38	4.10191832799254e-34	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	33.3870129909826	up	3002
IRF8	19	4	12.8306560516357	6.59613370895386	1.10424984597959e-37	7.50227345358535e-34	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	33.1248071101108	up	3394
PLD4	19	5	12.648232460022	7.71145629882812	1.14419381179645e-36	6.21892220587606e-33	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	32.2062848758557	up	122618
UGCG	19	6	12.546422958374	5.92393398284912	4.15877602813711e-36	1.8836482890109e-32	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	31.7250001845586	up	7357
TCF4	19	7	12.51744556427	6.28810548782349	5.99327694118504e-36	2.32676134505207e-32	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	31.6332481598341	up	6925
TSPAN13	19	8	12.4298839569092	7.55543851852417	1.79894690041187e-35	6.11102262069911e-32	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	31.213886108683	up	27075
HERPUD1	19	9	12.3899927139282	3.98229932785034	2.96069093587725e-35	8.93997076371111e-32	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	31.0486639014703	up	9709
SPIB	19	10	12.2583875656128	6.73374843597412	1.51484848532605e-34	4.11675224372206e-31	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	30.3854452691264	up	6689
CCDC50	19	12	12.226731300354	5.84922742843628	2.23762079175707e-34	5.0674652197325e-31	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	30.2952092233809	up	152137
PPP1R14B	19	11	12.2311182022095	5.22303247451782	2.11999234106931e-34	5.0674652197325e-31	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	30.2952092233809	up	26472
MAP1A	19	13	12.2001066207886	8.03210639953613	3.10418462499222e-34	6.4891785668299e-31	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	30.1878102749209	up	4130
LILRA4	19	14	12.0489873886108	11.3870487213135	1.96346420261084e-33	3.81136451215372e-30	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	29.4189195140862	up	23547
JCHAIN	19	15	11.9894552230835	5.33798313140869	4.03551137556431e-33	7.31127047615571e-30	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	29.1360071493292	up	3512
PLAC8	19	16	11.9619874954224	4.62866163253784	5.62004700596968e-33	9.5456498396395e-30	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	29.0201945007787	up	51316
APP	19	17	11.8591241836548	5.3735408782959	1.92982732653753e-32	3.084999260352e-29	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	28.5107449357556	up	351
ITM2C	19	18	11.7824649810791	4.57612085342407	4.80662667666477e-32	7.25693814250233e-29	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	28.1392465787904	up	81618
C12orf75	19	19	11.7638654708862	3.93318390846252	5.99267384007156e-32	8.57141601462024e-29	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	28.0669474258555	up	387882
BCL11A	19	20	11.6123371124268	6.5303807258606	3.5672992904382e-31	4.84724627584742e-28	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	27.3145049143551	up	53335
LRRC26	19	21	11.6077747344971	13.2231426239014	3.76280660860395e-31	4.86943011406767e-28	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	27.3125218627685	up	389816
SCT	19	22	11.6002407073975	11.4774951934814	4.1091910862809e-31	5.07597168003499e-28	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	27.2944808095952	up	6343
SEC61B	19	23	11.5783071517944	2.75384712219238	5.30842041369278e-31	6.27224492010935e-28	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	27.2025769915584	up	10952
MPEG1	19	24	11.5220146179199	5.00726175308228	1.02193352721155e-30	1.15716939731255e-27	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	26.9366030602937	up	219972
CLIC3	19	25	11.4616394042969	4.14706468582153	2.05585426662716e-30	2.23479582199439e-27	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	26.6507621492353	up	9022
GAS6	19	26	11.3628005981445	5.30195426940918	6.40574655545765e-30	6.69548339965835e-27	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	26.1742180623823	up	2621
CD74	19	27	11.3427267074585	3.68029022216797	8.0593732826041e-30	8.1119084565944e-27	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	26.0908769590241	up	972
TXN	19	29	11.2459115982056	3.36440658569336	2.425782036863e-29	2.27320871150996e-26	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	25.643360688298	up	7295
DERL3	19	30	11.2382955551147	5.30703401565552	2.64437917304637e-29	2.39545494689027e-26	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	25.6206119928296	up	91319
CYB561A3	19	31	11.2283172607422	4.46937370300293	2.96063648393382e-29	2.59542764798018e-26	60	pDCs	B/Plasma	B/Plasma | ref:pDCs	B/Plasma	FALSE	25.5857910733237	up	220002
JCHAIN	7	1	52.6561622619629	11.6179761886597	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	3512
IGHA1	7	5	45.0473403930664	10.1011123657227	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	3493
DERL3	7	4	49.4624862670898	8.40528202056885	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	91319
MZB1	7	3	51.434627532959	8.35794639587402	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	51237
IGLL5	7	12	37.7793197631836	8.25563716888428	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	100423062
CD79A	7	6	43.9880294799805	5.28743410110474	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	973
SSR4	7	2	51.8746376037598	3.78320598602295	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	6748
PRDX4	7	10	38.234130859375	3.69776916503906	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	10549
FKBP11	7	8	39.2588844299316	3.57570123672485	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	51303
SEC11C	7	7	43.662483215332	3.52970051765442	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	90701
FKBP2	7	11	38.1915283203125	2.8420717716217	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	2286
HSP90B1	7	9	38.4935913085938	2.59794473648071	0	0	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	300	up	7184
TNFRSF17	7	13	36.1164855957031	7.9382791519165	1.24999991397264e-285	3.2352378725829e-283	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	282.490093782089	up	608
SSR3	7	14	33.2044143676758	2.33703804016113	9.2968019893614e-242	1.81762511412148e-239	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	238.740495685282	up	6747
