Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Myeloid/TAM | ref:Classical Mono_C1	GO:0030162	regulation of proteolysis	11/243	138/15651	0.0797101449275362	5.13392377885132	6.12549633935784	1.02433561678094e-05	0.000265030389863837	0.000265030389863837	PLAUR/IL1B/CSTA/CST3/GRN/ANXA2/CSTB/PRELID1/TIMP1/CTSZ/S100A10	11
Myeloid/TAM | ref:Classical Mono_C1	GO:0002431	Fc receptor mediated stimulatory signaling pathway	6/243	33/15651	0.181818181818182	11.7104377104377	7.73461415053223	1.02649344829842e-05	0.000265030389863837	0.000265030389863837	PLSCR1/PAK1/LYN/FGR/SYK/HCK	6
Myeloid/TAM | ref:Classical Mono_C1	GO:0002706	regulation of lymphocyte mediated immunity	12/243	165/15651	0.0727272727272727	4.68417508417508	5.97447541875764	1.03829150026018e-05	0.000266868977499307	0.000266868977499307	ARRB2/LILRB1/FCGR2B/CALHM6/IL1B/HLA-DRB1/LGALS9/LILRB4/CD1D/TNFSF13/HLA-DRA/GRB2	12
Myeloid/TAM | ref:Classical Mono_C1	GO:1990266	neutrophil migration	9/243	90/15651	0.1	6.44074074074074	6.50051414800434	1.06977182831077e-05	0.000273727266921134	0.000273727266921134	JAML/CCL3/S100A9/CD74/S100A12/S100A8/RAC1/SYK/ITGB2	9
Myeloid/TAM | ref:Classical Mono_C1	GO:0002604	regulation of dendritic cell antigen processing and presentation	4/243	10/15651	0.4	25.762962962963	9.83688338548026	1.10628549524303e-05	0.000280554001593632	0.000280554001593632	SLC11A1/FCGR2B/CD68/CD74	4
Myeloid/TAM | ref:Classical Mono_C1	GO:0045657	positive regulation of monocyte differentiation	4/243	10/15651	0.4	25.762962962963	9.83688338548026	1.10628549524303e-05	0.000280554001593632	0.000280554001593632	HLA-DRB1/CD74/ZFP36L1/CD4	4
Myeloid/TAM | ref:Classical Mono_C1	GO:0032868	response to insulin	14/243	226/15651	0.0619469026548673	3.98983939691904	5.68560476401881	1.21510364288619e-05	0.000306786787004805	0.000306786787004805	FOS/FBP1/IL1B/RETN/PAK1/LYN/PTPRE/EGR1/RAB31/ZFP36L1/BLVRB/PKM/GSTP1/GRB2	14
Myeloid/TAM | ref:Classical Mono_C1	GO:0002861	regulation of inflammatory response to antigenic stimulus	6/243	34/15651	0.176470588235294	11.3660130718954	7.59870489335503	1.23037137315345e-05	0.000307916625228666	0.000307916625228666	FCGR2B/HLA-DRB1/LYN/FGR/SYK/HCK	6
Myeloid/TAM | ref:Classical Mono_C1	GO:0030224	monocyte differentiation	6/243	34/15651	0.176470588235294	11.3660130718954	7.59870489335503	1.23037137315345e-05	0.000307916625228666	0.000307916625228666	IL1B/HLA-DRB1/CSF1R/CD74/ZFP36L1/CD4	6
Myeloid/TAM | ref:Classical Mono_C1	GO:0050853	B cell receptor signaling pathway	8/243	70/15651	0.114285714285714	7.36084656084656	6.69812809193403	1.23899130015394e-05	0.000308719840990322	0.000308719840990322	MEF2C/FCGR2B/NFKBIA/NFKBIZ/LYN/SYK/MNDA/GRB2	8
Myeloid/TAM | ref:Classical Mono_C1	GO:0045428	regulation of nitric oxide biosynthetic process	7/243	51/15651	0.137254901960784	8.840232389252	7.04269527024314	1.29049964584264e-05	0.000320156129529483	0.000320156129529483	TSPO/CD36/CLEC7A/IL1B/SIRPA/RAC1/ITGB2	7
Myeloid/TAM | ref:Classical Mono_C1	GO:0002223	stimulatory C-type lectin receptor signaling pathway	5/243	21/15651	0.238095238095238	15.3350970017637	8.25501691044954	1.43788158340939e-05	0.000352126708795449	0.000352126708795449	TYROBP/CLEC7A/PAK1/LYN/SYK	5
Myeloid/TAM | ref:Classical Mono_C1	GO:1990840	response to lectin	5/243	21/15651	0.238095238095238	15.3350970017637	8.25501691044954	1.43788158340939e-05	0.000352126708795449	0.000352126708795449	TYROBP/CLEC7A/PAK1/LYN/SYK	5
Myeloid/TAM | ref:Classical Mono_C1	GO:1990858	cellular response to lectin	5/243	21/15651	0.238095238095238	15.3350970017637	8.25501691044954	1.43788158340939e-05	0.000352126708795449	0.000352126708795449	TYROBP/CLEC7A/PAK1/LYN/SYK	5
Myeloid/TAM | ref:Classical Mono_C1	GO:0008360	regulation of cell shape	10/243	118/15651	0.0847457627118644	5.45825486503453	6.10471505519295	1.52024578832607e-05	0.000370706088384127	0.000370706088384127	ARHGAP18/CCL3/LST1/CSF1R/RHOG/FGR/RAC1/EPB41L3/ITGB2/HCK	10
Myeloid/TAM | ref:Classical Mono_C1	GO:0071674	mononuclear cell migration	13/243	201/15651	0.0646766169154229	4.16565321540446	5.67262791237503	1.58005553176084e-05	0.000382111314088994	0.000382111314088993	SPI1/JAML/CCL3/RHOA/LGALS9/CSF1R/LYN/ALOX5/SIRPA/S100A12/CCR1/PYCARD/AIF1	13
Myeloid/TAM | ref:Classical Mono_C1	GO:0070374	positive regulation of ERK1 and ERK2 cascade	12/243	172/15651	0.0697674418604651	4.49354005167959	5.78556360899547	1.58041132360677e-05	0.000382111314088994	0.000382111314088993	TMEM219/ARRB2/CCL3/CD36/GNAI2/IL1B/LGALS9/CSF1R/CD74/SCIMP/CCR1/PYCARD	12
Myeloid/TAM | ref:Classical Mono_C1	GO:0046456	icosanoid biosynthetic process	7/243	53/15651	0.132075471698113	8.50663871418588	6.87442160873686	1.67344676713658e-05	0.000401205346776526	0.000401205346776526	IL1B/TBXAS1/ALOX5/CD74/NAIP/FABP5/PYCARD	7
Myeloid/TAM | ref:Classical Mono_C1	GO:0050832	defense response to fungus	7/243	53/15651	0.132075471698113	8.50663871418588	6.87442160873686	1.67344676713658e-05	0.000401205346776526	0.000401205346776526	SPI1/CLEC7A/S100A9/GAPDH/S100A12/S100A8/COTL1	7
Myeloid/TAM | ref:Classical Mono_C1	GO:0071639	positive regulation of monocyte chemotactic protein-1 production	4/243	11/15651	0.363636363636364	23.4208754208754	9.34152341333301	1.71726490616992e-05	0.000408279731441898	0.000408279731441898	CLEC7A/IL1B/LGALS9/SYK	4
Myeloid/TAM | ref:Classical Mono_C1	GO:0140105	interleukin-10-mediated signaling pathway	4/243	11/15651	0.363636363636364	23.4208754208754	9.34152341333301	1.71726490616992e-05	0.000408279731441898	0.000408279731441898	LILRB1/LILRA2/LILRB4/LILRB2	4
Myeloid/TAM | ref:Classical Mono_C1	GO:0043304	regulation of mast cell degranulation	5/243	22/15651	0.227272727272727	14.6380471380471	8.03868673845724	1.83732082560245e-05	0.000435010482609443	0.000435010482609443	STXBP2/LGALS9/LYN/FGR/VAMP8	5
